level,experience_years,geography,base_low_usd,base_high_usd,equity_annualized_low_usd,equity_annualized_high_usd,signon_low_usd,signon_high_usd,total_comp_low_usd,total_comp_high_usd,total_comp_inr_low_lakhs,total_comp_inr_high_lakhs,work_mode_adjustment,notes
Junior FDE,1-3,US (on-site),135000,170000,25000,60000,10000,25000,170000,255000,,,"Baseline on-site rate. Primary hirers: OpenAI, Anthropic, Palantir, Scale AI"
Mid FDE,3-6,US (on-site),170000,210000,50000,120000,25000,50000,245000,380000,,,"Equity becomes significant lever at this tier"
Senior FDE,6-10,US (on-site),200000,245000,90000,200000,40000,80000,330000,525000,,,"Equity typically exceeds base at this level and above"
Staff FDE,10+,US (on-site),230000,280000,180000,350000,60000,120000,470000,750000,,,"Stock grant value outpaces cash base; ranges widen due to equity scaling with valuation"
Principal FDE,12+,US (on-site),260000,320000,300000,500000,80000,200000,640000,1020000,,,"Top of delivery ladder; equity allocation $300K–$500K+ annualized"
Junior FDE,1-3,US (fully remote),121500,153000,25000,60000,10000,25000,156500,238000,,,-10 to -15% markdown on base vs on-site equivalent
Mid FDE,3-6,US (fully remote),153000,178500,50000,120000,25000,50000,228000,348500,,,-10 to -15% markdown on base vs on-site equivalent
Senior FDE,6-10,US (fully remote),170000,220500,90000,200000,40000,80000,300000,500500,,,-10 to -15% markdown on base vs on-site equivalent
Junior FDE,1-3,India (GCC),,,,,,,,65,120,,"Source: TeamLease Digital 2026; GCC clusters in Bengaluru, Hyderabad, Pune"
Mid FDE,3-6,India (GCC),,,,,,,,80,160,,"Source: TeamLease Digital 2026"
Senior FDE,6-10,India (GCC),,,,,,,,120,220,,"Source: TeamLease Digital 2026; top of band ₹2.2Cr reported"
AI Red Team Engineer,3-10,US (on-site),,,,,,,,,,,"Median TC $245K; primary hirers: OpenAI, Anthropic, Scale AI, Dynamo AI"
AI Product Manager,3-10,US (on-site),,,,,,,,,,,"Median TC $240K at top-tier labs"
Context Engineer,3-8,US (on-site),,,,,,,,,,,"Median TC $210K; prompt engineering roles face heavy salary compression"
ML Engineer (Senior),6-10,US (on-site),150000,200000,30000,80000,15000,40000,195000,320000,,,"15-25% below AI Engineer equivalent; $80K-$120K below FDE"
AI Engineer (Senior),6-10,US (on-site),175000,230000,50000,120000,20000,60000,245000,410000,,,"15-25% premium over ML Engineer; still below FDE client-facing premium"
Solutions Engineer (Senior),6-10,US,130000,160000,,,,,180000,220000,,,"OTE-based; commission variable not equity; FDE gap of $80K-$120K at this level"
